Features,Index
Sleep time,da049
Snap time,da050
Friend interaction,da056s1
Community game,da056s2
Helping people,da056s3
Dance sport,da056s4
Community activities,da056s5
Voluntary work,da056s6
Take care of disability,da056s7
Traing course,da056s8
Stock investment,da056s9
Internet,da056s10
Other,da056s11
None,da056s12
Smoking y/n,da059
Smoking y/n,zda059
smoking a pipe,da060s1
Smoking self-rolled cigarette,da060s2
Filtered cigarette,da060s3
Unfiltered cigarette,da060s4
Cigar,da060s5
Water cigarettes,da060s6
average cigarette,da063
Drinking condition ,da067
Liquor,da068s1
Beer,da068s2
Wine or rice,da068s3
Drinking age ,da072
Stop drinking age,da071
