ID,householdID,gc004_1_,gc004_2_,gc005_1_,gc005_2_,gd001,gd002_3,ge006,ge007,ge008,ge010_6,ge010_7,ha000_w2_0,ga007s1,ga007s3,ga007s5,ga007s6
094004126002,0940041260,NA,NA,NA,NA,0,NA,550,300,150,0,0,1,0,0,0,0
094004103001,0940041030,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,1,0,0,0,0
094004111001,0940041110,NA,NA,NA,NA,0,NA,200,0,0,20000,3000,1,0,0,0,0
094004110001,0940041100,NA,NA,NA,NA,0,NA,NA,0,14,170,0,1,1,0,0,0
094004108001,0940041080,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,1,0,0,0,0
094004112001,0940041120,NA,NA,NA,NA,9600,NA,200,0,0,1500,1000,1,0,0,0,0
094004106001,0940041060,NA,NA,NA,NA,0,NA,500,0,130,2000,0,1,1,0,0,0
094004114001,0940041140,NA,NA,NA,NA,0,NA,200,0,0,0,0,1,0,0,0,0
094004118001,0940041180,NA,NA,NA,NA,0,NA,200,0,15,30000,2500,1,0,0,0,0
094004101002,0940041010,NA,NA,NA,NA,0,NA,350,0,0,6000,0,1,0,0,0,0
094004104002,0940041040,NA,NA,NA,NA,0,NA,100,150,40,10000,0,1,0,0,0,0
094004119002,0940041190,NA,NA,NA,NA,0,NA,80,0,0,0,0,1,0,0,0,0
094004122002,0940041220,NA,NA,NA,NA,0,NA,300,0,200,2000,2000,1,0,0,0,0
094004116002,0940041160,NA,NA,NA,NA,0,NA,600,0,0,NA,0,1,0,0,0,0
094004117001,0940041170,NA,NA,NA,NA,0,NA,1000,600,0,2000,5000,1,0,0,0,0
094004107001,0940041070,NA,NA,NA,NA,0,NA,1000,0,400,0,0,1,0,0,0,0
094004310001,0940043100,NA,NA,NA,NA,0,NA,1000,350,0,4800,0,1,0,0,0,0
094004313001,0940043130,NA,NA,NA,NA,0,NA,100,0,0,200,0,1,0,0,0,0
094004317001,0940043170,NA,NA,NA,NA,0,NA,630,0,0,20000,0,1,0,0,0,0
094004316001,0940043160,NA,NA,NA,NA,0,NA,NA,400,100,1000,0,1,0,0,0,0
094004308001,0940043080,NA,NA,NA,NA,0,NA,50,0,0,1500,0,1,0,0,0,0
094004303001,0940043030,NA,NA,NA,NA,0,NA,1000,300,0,1800,0,1,0,0,0,0
094004307001,0940043070,NA,NA,NA,NA,0,NA,400,0,0,1300,1500,1,0,0,0,0
094004319001,0940043190,NA,NA,NA,NA,0,NA,1000,0,0,2000,300,1,0,0,0,0
