ID,householdID,ga002,ga003s3,ga003s5,ga003s6,ga004_w3_1s1,ga004_w3_1s3,ga004_w3_1s5
094004126001,0940041260,NA,NA,NA,NA,NA,NA,NA
094004126002,0940041260,NA,NA,NA,NA,NA,NA,NA
094004103001,0940041030,NA,NA,NA,NA,NA,NA,NA
094004111002,0940041110,NA,NA,NA,NA,NA,NA,NA
094004111001,0940041110,NA,NA,NA,NA,NA,NA,NA
094004110001,0940041100,NA,NA,NA,NA,NA,NA,NA
094004108001,0940041080,NA,NA,NA,NA,NA,NA,NA
094004112001,0940041120,NA,NA,NA,NA,NA,NA,NA
094004112002,0940041120,NA,NA,NA,NA,NA,NA,NA
094004106001,0940041060,NA,NA,NA,NA,NA,NA,NA
094004114001,0940041140,NA,NA,NA,NA,NA,NA,NA
094004118001,0940041180,NA,NA,NA,NA,NA,NA,NA
094004118002,0940041180,NA,NA,NA,NA,NA,NA,NA
094004101002,0940041010,NA,NA,NA,NA,NA,NA,NA
094004104002,0940041040,NA,NA,NA,NA,NA,NA,NA
094004104001,0940041040,NA,NA,NA,NA,NA,NA,NA
094004119002,0940041190,NA,3,NA,NA,NA,NA,NA
094004119001,0940041190,NA,NA,NA,NA,NA,NA,NA
094004122001,0940041220,NA,NA,NA,NA,NA,NA,NA
094004122002,0940041220,20000,NA,NA,NA,NA,NA,NA
094004116001,0940041160,NA,NA,NA,NA,NA,NA,NA
094004116002,0940041160,NA,NA,NA,NA,NA,NA,NA
094004117002,0940041170,NA,NA,NA,NA,NA,NA,NA
094004117001,0940041170,NA,NA,NA,NA,NA,NA,NA
094004107001,0940041070,NA,NA,NA,NA,NA,NA,NA
094004310002,0940043100,NA,NA,NA,NA,NA,NA,NA
094004310001,0940043100,NA,NA,NA,NA,NA,NA,NA
094004313001,0940043130,NA,NA,NA,NA,NA,NA,NA
094004317002,0940043170,NA,NA,NA,NA,NA,NA,NA
094004317001,0940043170,NA,NA,NA,NA,NA,NA,NA
094004316002,0940043160,150000,NA,NA,NA,NA,NA,NA
094004316001,0940043160,60000,NA,NA,NA,NA,NA,NA
094004308001,0940043080,NA,NA,NA,NA,NA,NA,NA
094004303001,0940043030,NA,NA,NA,NA,NA,NA,NA
094004303002,0940043030,NA,NA,NA,NA,NA,NA,NA
094004307001,0940043070,NA,NA,NA,NA,NA,NA,NA
094004307002,0940043070,NA,NA,NA,NA,NA,NA,NA
094004319001,0940043190,NA,NA,NA,NA,NA,NA,NA
094004320001,0940043200,NA,NA,NA,NA,NA,NA,NA
094004320002,0940043200,NA,NA,NA,NA,NA,NA,NA
094004318001,0940043180,30000,NA,NA,NA,NA,NA,NA
094004318002,0940043180,NA,NA,NA,NA,NA,NA,NA
094004311002,0940043110,144000,NA,NA,NA,NA,NA,NA
094004311001,0940043110,150000,NA,NA,NA,NA,NA,NA
094004219001,0940042190,NA,NA,NA,NA,NA,NA,NA
094004219002,0940042190,NA,NA,NA,NA,NA,NA,NA
094004220002,0940042200,NA,NA,NA,NA,NA,NA,NA
094004220001,0940042200,NA,NA,NA,NA,NA,NA,NA
094004215002,0940042150,NA,3,NA,NA,NA,NA,NA
094004215001,0940042150,NA,NA,NA,NA,NA,NA,NA
094004217001,0940042170,NA,NA,NA,NA,NA,NA,NA
094004217002,0940042170,NA,NA,NA,NA,NA,NA,NA
094004201001,0940042010,72000,NA,NA,NA,NA,NA,NA
094004201002,0940042010,NA,NA,NA,NA,NA,NA,NA
094004213001,0940042130,NA,NA,NA,NA,NA,NA,NA
094004213002,0940042130,NA,NA,NA,NA,NA,NA,NA
094004223002,0940042230,NA,NA,NA,NA,NA,NA,NA
094004223001,0940042230,NA,NA,NA,NA,NA,NA,NA
094004225001,0940042250,NA,NA,NA,NA,NA,NA,NA
094004216002,0940042160,NA,NA,NA,NA,NA,NA,NA
094004216001,0940042160,NA,NA,NA,NA,NA,NA,NA
094004212002,0940042120,NA,NA,NA,NA,NA,NA,NA
094004212001,0940042120,NA,NA,NA,NA,NA,NA,NA
194037213002,1940372130,NA,NA,NA,NA,NA,NA,NA
194037213001,1940372130,NA,NA,NA,NA,NA,NA,NA
194037223002,1940372230,NA,3,NA,NA,NA,NA,NA
194037223001,1940372230,NA,3,NA,NA,NA,NA,NA
194037222002,1940372220,NA,NA,NA,NA,NA,NA,NA
194037219001,1940372190,NA,NA,NA,NA,NA,NA,NA
194037219002,1940372190,NA,NA,NA,NA,NA,NA,NA
194037214002,1940372140,NA,NA,NA,NA,NA,NA,NA
