"","ID","i011","i015","i017","i018","i019","i020","i021","i022","i023","i024","i025","i026"
"1","094004126002",1,1,1,2,0,0,0,4,0,1,3,3
"2","094004103001",1,1,1,2,0,1,5,4,1,1,4,3
"3","094004111001",0,1,1,0,1,1,5,4,1,1,3,3
"4","094004110001",1,1,1,2,0,1,5,4,0,1,4,3
"5","094004108001",2,1,1,2,0,1,5,4,1,0,2,3
"6","094004112001",1,1,1,0,0,1,5,2,1,0,4,3
"7","094004106001",5,1,1,2,1,1,2,2,1,1,2,3
"8","094004114001",1,1,1,2,0,1,5,5,1,1,4,2
"9","094004118001",1,0,1,2,0,0,0,5,1,1,4,3
"10","094004101002",1,1,1,0,0,0,0,4,1,0,4,3
"11","094004104002",4,1,1,2,1,1,3,2,0,0,2,3
"12","094004119002",0,1,1,1,0,1,7,4,1,0,3,3
"13","094004122002",2,1,1,2,0,1,5,4,0,0,4,3
"14","094004116002",3,1,1,2,1,1,5,2,1,1,3,3
"15","094004117001",1,1,1,2,0,1,5,2,1,1,1,2
"16","094004107001",2,1,1,2,0,1,5,4,1,1,4,3
"17","094004310001",5,1,1,2,1,1,3,2,1,0,3,3
"18","094004313001",5,1,1,2,1,1,3,2,1,1,2,3
"19","094004317001",5,1,1,2,1,1,3,2,1,0,4,3
"20","094004316001",3,1,1,2,1,1,3,2,1,1,4,3
"21","094004308001",5,1,1,2,1,1,3,2,1,1,4,3
"22","094004303001",3,1,1,2,1,1,3,2,1,1,1,3
"23","094004307001",5,1,1,2,1,1,5,2,1,1,6,6
"24","094004319001",5,1,1,2,1,1,3,2,1,1,6,6
"25","094004320002",3,1,1,2,1,1,3,2,1,1,1,3
"26","094004318001",3,1,1,2,1,1,3,2,1,1,6,6
"27","094004311002",4,1,1,2,1,1,3,2,0,1,6,6
"28","094004219001",0,1,1,2,1,1,3,2,1,0,4,3
"29","094004220002",0,1,1,2,1,1,7,2,1,1,2,3
"30","094004215002",0,1,1,0,1,1,2,2,1,0,4,3
"31","094004217001",3,1,1,2,1,1,0,2,1,1,4,3
"32","094004201001",5,1,1,2,1,1,0,2,1,1,4,2
"33","094004223001",0,1,1,2,1,1,3,2,1,0,1,3
"34","094004225001",2,1,1,2,1,1,0,2,1,1,4,3
"35","094004216001",0,1,1,2,1,1,3,2,1,1,2,3
"36","094004212002",0,1,1,2,1,1,3,2,1,1,2,3
"37","194037213001",2,1,1,2,1,1,0,2,0,1,3,3
"38","194037223002",5,1,1,2,1,1,0,2,1,1,2,4
"39","194037222002",4,1,1,2,1,1,3,2,1,1,3,4
"40","194037219002",2,1,1,2,1,1,2,2,0,1,3,3
"41","194037214002",5,1,1,2,1,1,2,2,1,1,3,3
"42","194037202002",5,1,1,2,1,1,2,2,0,0,3,3
"43","194037206002",5,1,1,2,1,1,7,5,1,1,3,3
"44","194037204001",1,1,1,1,1,1,7,2,0,1,1,3
"45","194037224001",0,1,1,2,1,1,2,2,1,1,3,3
"46","194037220002",3,1,1,2,1,1,0,2,0,1,2,3
"47","194037211001",0,1,1,0,1,1,3,2,0,0,4,2
"48","194037227002",5,1,1,2,1,1,2,2,0,1,3,3
"49","194037212001",0,1,1,2,1,1,2,2,0,1,1,3
"50","194037333001",2,0,1,0,0,1,3,5,0,0,4,2
"51","194037342002",1,1,1,2,1,1,2,5,0,1,6,6
"52","194037301002",0,1,1,2,1,1,2,2,0,1,6,6
"53","194037311002",5,1,0,2,0,1,2,4,0,0,4,3
"54","194037310002",1,1,1,2,1,1,2,2,0,1,6,6
"55","194037329001",1,1,1,2,0,1,2,4,0,0,4,3
"56","194037316001",1,1,1,2,1,1,0,2,0,0,6,3
"57","194037314002",5,1,1,1,0,1,2,4,0,0,2,3
"58","194037321002",0,1,1,2,1,1,2,2,1,1,3,3
"59","194037306002",2,1,1,2,0,1,2,4,1,1,6,6
"60","194037325001",0,1,1,2,1,1,2,2,0,1,1,3
"61","194037345001",5,1,1,2,0,1,2,4,0,0,4,3
"62","194037308001",1,1,1,2,1,1,2,2,0,0,6,6
"63","194037307002",2,1,1,2,1,0,0,4,1,1,3,3
"64","194037348002",1,1,1,2,1,1,2,2,0,0,2,3
"65","194037317001",4,1,1,2,1,0,0,5,0,0,3,3
"66","194037328001",3,1,1,2,1,0,0,2,0,0,3,3
"67","194037347001",1,0,1,2,0,1,2,4,0,0,4,3
"68","194037344001",1,0,1,0,0,1,2,5,0,0,4,3
"69","194037341001",0,1,1,2,0,1,2,2,0,1,2,3
"70","194037324001",2,1,1,2,1,0,0,4,0,0,3,3
"71","194037302001",1,0,1,0,0,0,0,5,0,1,3,3
"72","194037343001",5,1,1,2,1,1,2,2,0,1,6,6
"73","194037332002",0,1,1,2,1,1,2,2,0,0,1,3
"74","194037335001",0,1,1,2,1,1,2,2,0,1,1,3
"75","194037327001",0,1,1,2,1,0,0,2,0,0,3,3
"76","194037346001",1,1,1,2,1,1,2,2,0,0,2,3
"77","194037330001",1,1,1,2,1,1,2,2,0,0,3,3
"78","194037336001",1,1,1,2,1,1,2,2,0,0,2,3
"79","194037338001",0,1,1,2,1,1,2,2,0,0,3,3
"80","194037334001",2,0,1,0,0,0,0,4,0,1,5,3
"81","194037318002",0,1,1,2,1,1,2,2,0,1,2,3
"82","194037349001",1,0,1,2,0,1,2,4,0,0,3,3
"83","194037312001",0,0,1,0,1,0,0,4,0,0,3,3
"84","064028313002",0,1,1,2,1,1,2,2,0,1,6,6
"85","064028316002",0,1,1,2,1,1,2,2,0,1,3,3
"86","064028307001",0,1,1,2,1,1,7,2,1,1,6,6
"87","064028317001",2,1,1,2,1,1,2,2,0,1,2,3
"88","064028314001",0,1,1,2,1,1,2,2,1,1,1,3
"89","064028310001",2,1,1,1,1,1,2,2,0,0,4,3
"90","064028304001",2,1,1,2,1,1,3,2,0,1,3,3
"91","064028312001",5,1,1,2,1,1,7,2,1,1,6,6
"92","064028301001",3,1,1,2,1,1,0,2,0,0,4,3
