"","ID","householdID","communityID","xrtype","fa001","fa002","fa006","fe001","fe002","ff002_2","ff004_1","ff004_2","ff004_3","ff005bracket_min","ff012_1","ff012_3","ff013bracket_min","ff013bracket_max","fl020s6","fl022_1","fn014_w2_2_2_","fn017_w2"
"1","094004126001","0940041260","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","094004126002","0940041260","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","094004103001","0940041030","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","094004111002","0940041110","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","094004111001","0940041110","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","094004110001","0940041100","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","094004108001","0940041080","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","094004112001","0940041120","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","094004112002","0940041120","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","094004106001","0940041060","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","094004114001","0940041140","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","094004118001","0940041180","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","094004118002","0940041180","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","094004101002","0940041010","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","094004104002","0940041040","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","094004104001","0940041040","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","094004119002","0940041190","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","094004119001","0940041190","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","094004122001","0940041220","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"20","094004122002","0940041220","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","094004116001","0940041160","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","094004116002","0940041160","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","094004117002","0940041170","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","094004117001","0940041170","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","094004107001","0940041070","0940041",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
